wgs_id,cip
SRR16644011,FALSE
SRR16644496,FALSE
SRR16999546,FALSE
SRR16999622,FALSE
SRR11724795,FALSE
SRR12612645,FALSE
SRR12612794,FALSE
SRR16644034,FALSE
SRR16999434,FALSE
SRR16644717,FALSE
SRR16644719,FALSE
SRR16644716,FALSE
SRR16644345,FALSE
SRR16999508,FALSE
SRR16644159,FALSE
SRR11698276,TRUE
SRR16644475,TRUE
SRR11698720,FALSE
SRR11699058,TRUE
SRR16644265,TRUE
SRR16999686,TRUE
SRR16999695,FALSE
SRR16644471,TRUE
SRR11724702,TRUE
SRR16644373,TRUE
SRR16999355,TRUE
SRR16644019,TRUE
SRR16644200,TRUE
SRR11725000,TRUE
SRR16644532,TRUE
SRR16999652,TRUE
SRR16999334,TRUE
SRR16999312,TRUE
SRR16643925,TRUE
SRR16999550,TRUE
SRR16999431,FALSE
SRR11699178,FALSE
SRR16999410,FALSE
SRR16999572,FALSE
SRR16644090,TRUE
SRR16999316,TRUE
SRR11728114,TRUE
SRR16999528,TRUE
SRR16643978,TRUE
SRR11698878,TRUE
SRR12611651,TRUE
SRR16999395,TRUE
SRR16643942,TRUE
SRR16644556,TRUE
SRR16644209,FALSE
SRR16644243,FALSE
SRR16644308,FALSE
SRR16644310,FALSE
SRR16999713,FALSE
SRR16999760,FALSE
SRR16644640,TRUE
SRR11698580,FALSE
SRR16999586,FALSE
SRR11698336,FALSE
SRR12612638,FALSE
SRR11724652,FALSE
SRR16999529,FALSE
SRR12612650,FALSE
SRR16999559,FALSE
SRR16644097,FALSE
SRR16644327,FALSE
SRR16644214,FALSE
SRR16644217,FALSE
SRR16999320,FALSE
SRR16644606,FALSE
SRR16644607,FALSE
SRR16999645,FALSE
SRR16999551,FALSE
SRR16999661,FALSE
SRR16999689,FALSE
SRR16999635,FALSE
SRR16644035,FALSE
SRR16644114,FALSE
SRR16644399,FALSE
SRR16644384,FALSE
SRR16643930,FALSE
SRR11698257,TRUE
SRR11698198,FALSE
SRR16644178,FALSE
SRR16644277,FALSE
SRR16644632,FALSE
SRR17188738,FALSE
SRR11698990,FALSE
SRR12611675,FALSE
SRR11724680,FALSE
SRR16644023,FALSE
SRR16999740,FALSE
SRR12612740,FALSE
SRR16999483,FALSE
SRR16644132,FALSE
SRR16999399,FALSE
SRR16644333,FALSE
SRR16643952,FALSE
SRR16644401,FALSE
SRR16644029,FALSE
SRR16644442,FALSE
SRR16999475,FALSE
SRR16644032,FALSE
SRR16644708,FALSE
SRR16644711,FALSE
SRR16999424,FALSE
SRR16644346,FALSE
SRR16644687,FALSE
SRR16644273,FALSE
SRR16643972,FALSE
SRR16644260,FALSE
SRR16644448,FALSE
SRR11724363,TRUE
SRR16643906,TRUE
SRR16644481,TRUE
SRR11724879,TRUE
SRR16999331,TRUE
SRR16644280,TRUE
SRR11724731,TRUE
SRR11698953,FALSE
SRR11724687,FALSE
SRR16999324,FALSE
SRR11698753,FALSE
SRR16643966,FALSE
SRR17188737,FALSE
SRR16644455,FALSE
SRR11724449,FALSE
SRR11724940,FALSE
SRR12612804,FALSE
SRR16999460,FALSE
SRR16644083,FALSE
SRR16644659,FALSE
SRR16644199,FALSE
SRR16644202,FALSE
SRR16999344,FALSE
SRR16644204,FALSE
SRR16999462,FALSE
SRR16999647,FALSE
SRR11724489,FALSE
SRR11724770,FALSE
SRR12612799,FALSE
SRR16999544,FALSE
SRR12612801,FALSE
SRR16644185,FALSE
SRR16644526,FALSE
SRR16999633,FALSE
SRR16644226,FALSE
SRR16644096,FALSE
SRR16644644,FALSE
SRR16644314,FALSE
SRR16999651,FALSE
SRR16643924,FALSE
SRR16644210,FALSE
SRR11728121,FALSE
SRR12612523,FALSE
SRR16644715,FALSE
SRR16999464,FALSE
SRR16999564,FALSE
SRR16999723,FALSE
SRR16999663,FALSE
SRR16644482,FALSE
SRR16644480,FALSE
SRR16999370,FALSE
SRR12612754,FALSE
SRR16999497,FALSE
SRR16643936,FALSE
SRR16644323,FALSE
SRR16999560,FALSE
SRR16999389,FALSE
SRR11698239,FALSE
SRR11724694,FALSE
SRR11698785,FALSE
SRR11698918,FALSE
SRR16644432,FALSE
SRR16644211,FALSE
SRR12612433,FALSE
SRR16999491,FALSE
SRR12612566,FALSE
SRR12612447,FALSE
SRR16644461,FALSE
SRR11724205,FALSE
SRR11724642,FALSE
SRR16643932,FALSE
SRR11724911,FALSE
SRR16999636,FALSE
SRR12612667,FALSE
SRR11724655,FALSE
SRR16999541,FALSE
SRR11724385,FALSE
SRR16644232,FALSE
SRR16644523,FALSE
SRR16999446,FALSE
SRR11724991,FALSE
SRR16999490,FALSE
SRR16999603,FALSE
SRR17188741,FALSE
SRR11698338,FALSE
SRR16999422,FALSE
SRR11698231,FALSE
SRR11698845,FALSE
SRR11724848,FALSE
SRR16643951,FALSE
SRR16644052,FALSE
SRR16999407,FALSE
SRR16644087,FALSE
SRR16644249,FALSE
SRR16644474,FALSE
SRR16644597,FALSE
SRR16644476,FALSE
SRR16644405,FALSE
SRR16999720,FALSE
SRR16644092,FALSE
SRR16644515,FALSE
SRR11698645,FALSE
SRR11724789,FALSE
SRR16644036,FALSE
SRR11698880,FALSE
SRR16999406,FALSE
SRR12611587,FALSE
SRR11724234,FALSE
SRR11724342,FALSE
SRR16644192,FALSE
SRR11724499,FALSE
SRR16999346,FALSE
SRR16644371,FALSE
SRR12612405,FALSE
SRR16644599,FALSE
SRR16644544,FALSE
SRR11699028,FALSE
SRR16644057,FALSE
SRR16644678,FALSE
SRR16644699,FALSE
SRR16644165,FALSE
SRR11724369,FALSE
SRR16999724,FALSE
SRR16999486,FALSE
SRR12612592,FALSE
SRR16644414,FALSE
SRR11698599,FALSE
SRR11724681,FALSE
SRR16643997,FALSE
SRR16644669,FALSE
SRR16999451,FALSE
SRR16644115,FALSE
SRR16644321,FALSE
SRR16999500,FALSE
SRR16644454,FALSE
SRR16644286,FALSE
SRR16999746,FALSE
SRR16644298,FALSE
SRR16999386,FALSE
SRR16999637,FALSE
SRR11698879,FALSE
SRR11728094,FALSE
SRR11724364,FALSE
SRR11724365,FALSE
SRR11724946,FALSE
SRR16644229,FALSE
SRR16644567,FALSE
SRR16644016,FALSE
SRR16644085,FALSE
SRR16999627,FALSE
SRR16644652,FALSE
SRR16999716,FALSE
SRR16643983,FALSE
SRR16644641,FALSE
SRR16644610,FALSE
SRR16999552,FALSE
SRR16999641,FALSE
SRR16999335,FALSE
SRR12612354,FALSE
SRR16643922,FALSE
SRR16644102,FALSE
SRR12612357,FALSE
SRR16999363,FALSE
SRR12612358,FALSE
SRR16999387,FALSE
SRR16644394,FALSE
SRR16644447,FALSE
SRR16644326,FALSE
SRR16999696,FALSE
SRR11698361,FALSE
SRR11699087,FALSE
SRR11699088,FALSE
SRR11725028,FALSE
SRR11698726,FALSE
SRR16643907,FALSE
SRR16999730,FALSE
SRR11724797,FALSE
SRR16644528,FALSE
SRR16999715,FALSE
SRR12612874,FALSE
SRR16999745,FALSE
SRR11698446,FALSE
SRR11698860,FALSE
SRR11698721,FALSE
SRR11725082,FALSE
SRR11698528,FALSE
SRR11698579,FALSE
SRR11699090,FALSE
SRR16644043,FALSE
SRR11698581,FALSE
SRR16643950,FALSE
SRR16644590,FALSE
SRR16644079,FALSE
SRR16643892,FALSE
SRR16644677,FALSE
SRR16644208,FALSE
SRR16999565,FALSE
SRR11698195,FALSE
